,date,month,year,adjclose,pct_change
89,2019-10-01,10,2019,22.559999465942383,-0.07007422699508392
90,2019-11-01,11,2019,24.09000015258789,0.06781918097805217
91,2019-12-01,12,2019,25.780000686645508,0.07015361242644347
92,2020-01-01,1,2020,25.479999542236328,-0.011636971932455609
93,2020-02-01,2,2020,22.719999313354492,-0.10832026210623691
94,2020-03-01,3,2020,21.06999969482422,-0.07262322484140338
95,2020-04-01,4,2020,23.690000534057617,0.12434745501572042
96,2020-05-01,5,2020,23.81999969482422,0.005487511939044065
97,2020-06-01,6,2020,23.59000015258789,-0.009655732375441817
98,2020-07-01,7,2020,25.549999237060547,0.08308601406505889
99,2020-08-01,8,2020,25.920000076293945,0.014481442281090384
100,2020-09-01,9,2020,24.239999771118164,-0.06481482639779335
101,2020-10-01,10,2020,22.5,-0.07178216945329208
